ccode,abbreviation,period,styear,endyear,democracy,duration,war_years,cinc,tpop,dummy_EU,dummy_GATT,dummy_WTO,dummy_NATO,dummy_OECD,religion_max,religion_pop,gdpPercap
267,NA,BADEN 1819-NA,1819,NA,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,NA,SAXONY 1806-NA,1806,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,NA,WURTTEMBERG 1800-1871,1800,1871,0,72,2,0.001003721845,1806,0,0,0,0,0,NA,NA,NA
290,POL,POLAND 1918-1925,1918,1925,1,8,3,0.02261375263,29486,0,0,0,0,0,NA,NA,NA
290,POL,POLAND 1926-1988,1926,1988,0,63,1,0.01237980742,37862,0,1,0,0,0,chrstgen,0.9663,11259.43745
290,POL,POLAND 1989-2010,1989,2010,1,22,0,0.005660888739,38199,1,0,1,1,1,chrstgen,0.9046,23692.90923
305,AUT,AUSTRIA 1800-1919,1800,1919,0,120,0,0.006554689258,6420,0,0,0,0,0,NA,NA,NA
305,AUT,AUSTRIA 1920-1932,1920,1932,1,13,0,0.005137770902,6725,0,0,0,0,0,NA,NA,NA
305,AUT,AUSTRIA 1933-1945,1933,1945,0,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,AUT,AUSTRIA 1946-2010,1946,2010,1,65,0,0.002058604034,8402,1,0,1,0,1,NA,NA,51843.42833
310,HUN,HUNGARY 1867-1989,1867,1989,0,123,7,0.003064118559,10398,0,1,0,0,0,chrstgen,0.7842,16429.70108
310,HUN,HUNGARY 1990-2010,1990,2010,1,21,0,0.001284612459,10015,1,0,1,1,1,chrstgen,0.6736,24477.57531
315,CSK,CZECHOSLOVAKIA 1918-1946,1918,1946,1,29,1,0.01103537716,12920,0,0,0,0,0,NA,NA,NA
315,CSK,CZECHOSLOVAKIA 1947-1989,1947,1989,0,43,0,0.007711316459,15638,0,0,0,0,0,NA,NA,NA
315,CSK,CZECHOSLOVAKIA 1990-NA,1990,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,CZE,CZECH REPUBLIC 1993-2010,1993,2010,1,18,0,0.00194013631,10554,1,0,1,1,1,chrstgen,0.7074,33483.13759
317,SVK,SLOVAKIA 1993-2010,1993,2010,1,18,0,0.001173136523,5433,1,0,1,1,1,NA,NA,25561.70629
324,NA,SARDINIA 1815-NA,1815,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,ITA,ITALY 1861-1918,1861,1918,0,58,8,0.03329636157,36280,0,0,0,0,0,NA,NA,NA
325,ITA,ITALY 1919-1921,1919,1921,1,3,0,0.03522893414,37974,0,0,0,0,0,NA,NA,NA
325,ITA,ITALY 1922-1945,1922,1945,0,24,9,0.01277116966,45090,0,0,0,0,0,chrstgen,0.9818,NA
325,ITA,ITALY 1946-2010,1946,2010,1,65,2,0.0137874689,60509,1,0,1,1,1,chrstgen,0.7939,42664.35527
